code,date,open,high,low,close,vol,money,turnover,turnover_full,rate
SH600009,20110104,32.0974,32.2008,31.5801,31.9939,136555,168501920.0,0.01248815,0.007087,2.5864
SH600009,20110105,31.9681,33.9855,31.8646,33.8561,471993,606482240.0,0.04316444,0.024494,2.5864
SH600009,20110106,33.6234,34.7355,33.3906,34.063,324896,430329920.0,0.02971221,0.016861,2.5864
SH600009,20110107,33.9855,34.27,33.1319,33.5975,188917,245580240.0,0.01727673,0.009804,2.5864
SH600009,20110110,33.7268,33.7268,32.4077,32.5888,162823,207217824.0,0.0148904,0.00845,2.5864
SH600009,20110111,32.5112,33.5458,32.3819,33.0285,109234,139087904.0,0.00998961,0.005669,2.5864
SH600009,20110112,33.0026,33.9855,32.8474,33.8561,170159,220534592.0,0.01556129,0.00883,2.5864
SH600009,20110113,34.1406,35.1493,33.882,34.063,265965,354467200.0,0.02432288,0.013802000000000002,2.5864
SH600009,20110114,34.0113,34.8648,33.8044,34.4769,203578,271243680.0,0.018617500000000002,0.010565,2.5864
SH600009,20110117,34.27,35.6408,34.063,34.2441,297036,399089152.0,0.02716437,0.015415,2.5864
SH600009,20110118,34.1406,34.2182,32.925,33.5716,221567,286434112.0,0.02026262,0.011498,2.5864
SH600009,20110119,33.5458,34.7355,33.0802,34.6838,213654,281274048.0,0.01953897,0.011088,2.5864
SH600009,20110120,34.6579,35.2787,33.8561,33.9596,208438,278674944.0,0.01906196,0.010817,2.5864
SH600009,20110121,33.5716,35.2269,33.5716,35.1752,228477,306532384.0,0.02089455,0.011857,2.5864
SH600009,20110124,35.2528,36.0546,34.5027,34.6579,267733,366058080.0,0.02448457,0.013894,2.5864
SH600009,20110125,34.8131,35.5632,34.0113,35.0459,181280,242813984.0,0.01657832,0.009408,2.5864
SH600009,20110126,34.9166,35.3821,34.3217,35.0976,117876,159008128.0,0.01077993,0.006117,2.5864
SH600009,20110127,34.7355,35.8218,34.3476,35.7959,233440,318620448.0,0.02134843,0.012114,2.5864
SH600009,20110128,35.5632,35.8994,35.2528,35.3563,141336,194256288.0,0.01292538,0.007334999999999999,2.5864
SH600009,20110131,35.1493,36.4684,34.9424,36.3132,240017,333404576.0,0.0219499,0.012456,2.5864
SH600009,20110201,36.158,36.8564,35.8218,36.7529,201652,284195136.0,0.01844137,0.010465,2.5864
SH600009,20110209,36.4167,36.6753,35.7959,35.9253,150079,209906512.0,0.01372494,0.007788,2.5864
