code,date,time,type,direction,position,default1,default2
SZ300046,20140107,100000,M,b,0.05,0,0
SZ002633,20140107,100000,M,b,0.05,0,0
SZ300264,20140107,100000,M,b,0.05,0,0
SZ300223,20140107,100000,M,b,0.05,0,0
SZ002654,20140107,100000,M,b,0.05,0,0
SZ300232,20140107,100000,M,b,0.05,0,0
SZ300317,20140107,100000,M,b,0.05,0,0
SZ300287,20140107,100000,M,b,0.05,0,0
SZ002668,20140107,100000,M,b,0.05,0,0
SZ002536,20140107,100000,M,b,0.05,0,0
SZ002351,20140108,100000,M,b,0.05,0,0
SZ300226,20140108,100000,M,b,0.05,0,0
SZ300299,20140108,100000,M,b,0.05,0,0
SH601208,20140108,100000,M,b,0.05,0,0
SZ300048,20140108,100000,M,b,0.05,0,0
SZ300336,20140108,100000,M,b,0.05,0,0
SZ300135,20140108,100000,M,b,0.05,0,0
SZ300264,20140108,100000,M,b,0.05,0,0
SZ300214,20140108,100000,M,b,0.05,0,0
SH603128,20140108,100000,M,b,0.05,0,0
SZ300046,20140108,140000,M,s,0.0,0,0
SZ002633,20140108,140000,M,s,0.0,0,0
SZ300264,20140108,140000,M,s,0.0,0,0
SZ300223,20140108,140000,M,s,0.0,0,0
SZ002654,20140108,140000,M,s,0.0,0,0
SZ300232,20140108,140000,M,s,0.0,0,0
SZ300317,20140108,140000,M,s,0.0,0,0
SZ300287,20140108,140000,M,s,0.0,0,0
SZ002668,20140108,140000,M,s,0.0,0,0
SZ002536,20140108,140000,M,s,0.0,0,0
SZ002516,20140109,100000,M,b,0.05,0,0
SZ300160,20140109,100000,M,b,0.05,0,0
SZ300154,20140109,100000,M,b,0.05,0,0
SZ300270,20140109,100000,M,b,0.05,0,0
SZ300341,20140109,100000,M,b,0.05,0,0
SZ300179,20140109,100000,M,b,0.05,0,0
SZ300200,20140109,100000,M,b,0.05,0,0
SZ300081,20140109,100000,M,b,0.05,0,0
SZ300172,20140109,100000,M,b,0.05,0,0
SZ300211,20140109,100000,M,b,0.05,0,0
SZ002351,20140109,140000,M,s,0.0,0,0
SZ300226,20140109,140000,M,s,0.0,0,0
SZ300299,20140109,140000,M,s,0.0,0,0
SH601208,20140109,140000,M,s,0.0,0,0
SZ300048,20140109,140000,M,s,0.0,0,0
SZ300336,20140109,140000,M,s,0.0,0,0
SZ300135,20140109,140000,M,s,0.0,0,0
SZ300264,20140109,140000,M,s,0.0,0,0
SZ300214,20140109,140000,M,s,0.0,0,0
SH603128,20140109,140000,M,s,0.0,0,0
SZ300023,20140110,100000,M,b,0.05,0,0
SZ300040,20140110,100000,M,b,0.05,0,0
SZ300233,20140110,100000,M,b,0.05,0,0
SZ300067,20140110,100000,M,b,0.05,0,0
SZ300243,20140110,100000,M,b,0.05,0,0
SZ300046,20140110,100000,M,b,0.05,0,0
SZ002666,20140110,100000,M,b,0.05,0,0
SZ300179,20140110,100000,M,b,0.05,0,0
SZ002232,20140110,100000,M,b,0.05,0,0
